# Log de vuelo QAV250 Gemelo Digital
# Generado: 2026-06-05T13:26:31.656928
#
# Columnas:
#   t      = tiempo relativo al primer mensaje [s]
#   X      = posicion longitudinal (Pitch) [m]
#   Y      = posicion lateral (Roll) [m]
#   Z      = altura [m]
#   Roll   = angulo de alabeo [grados]
#   Pitch  = angulo de cabeceo [grados]
#   Yaw    = angulo de guinada [grados]
#   w1..w4 = velocidad angular de cada motor [rad/s]
#   pwm1..4= PWM de cada motor [us]
#
         t |        X        Y        Z |     Roll    Pitch      Yaw |      w1      w2      w3      w4 |  pwm1  pwm2  pwm3  pwm4
     3.550 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.600 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.650 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.700 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.750 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.800 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.850 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.900 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     3.950 |    0.000    0.000    0.000 |    -0.65     1.82     0.01 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.000 |    0.000    0.000    0.000 |    -0.65     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.051 |    0.000    0.000    0.000 |    -0.65     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.100 |    0.000    0.000    0.000 |    -0.65     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.150 |    0.000    0.000    0.000 |    -0.65     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.200 |    0.000    0.000    0.000 |    -0.65     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.250 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.300 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.350 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.400 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.450 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.501 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.550 |    0.000    0.000    0.000 |    -0.66     1.82    -0.00 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.600 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.650 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.700 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.750 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.800 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.850 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.900 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     4.950 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.000 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.050 |    0.000    0.000    0.000 |    -0.66     1.82    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.100 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.150 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.200 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.250 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.300 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.350 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.400 |    0.000    0.000    0.000 |    -0.67     1.81    -0.02 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.450 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.500 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.550 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.600 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.650 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.700 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.750 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.800 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.850 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.900 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     5.950 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
     6.000 |    0.000    0.000    0.000 |    -0.67     1.81    -0.03 |     0.0     0.0     0.0     0.0 |  1000  1000  1000  1000
